date,fund,fund_type,price,nav,income
2020-12-14,Фонд Современный 6,closed,299981.71,2043831376.13,
2020-12-31,Фонд Современный 6,closed,300959.77,2050495069.75,
2021-01-29,Фонд Современный 6,closed,311982.45,2125594696.22,
2021-02-26,Фонд Современный 6,closed,314138.65,2140285283.06,
2021-03-31,Фонд Современный 6,closed,309223.95,2106800463.14,
2021-04-30,Фонд Современный 6,closed,311809.6,2124417004.22,
2021-05-31,Фонд Современный 6,closed,314136.14,2140268139.08,
2021-06-30,Фонд Современный 6,closed,309652.89,2109722974.31,
2021-07-30,Фонд Современный 6,closed,315255.09,2147891793.99,
2021-08-31,Фонд Современный 6,closed,317524.64,2163354627.82,
2021-09-30,Фонд Современный 6,closed,312447.92,2128766029.65,
2021-10-29,Фонд Современный 6,closed,314681.74,2143985403.29,
2021-11-30,Фонд Современный 6,closed,317152.62,2160820010.46,
2021-12-30,Фонд Современный 6,closed,309176.26,2106475569.63,
2022-01-31,Фонд Современный 6,closed,327313.11,2230045317.53,
2022-02-28,Фонд Современный 6,closed,329848.02,2247316140.48,
2022-03-31,Фонд Современный 6,closed,330667.28,2252897925.43,
2022-04-29,Фонд Современный 6,closed,333229.59,2270355421.67,
2022-05-31,Фонд Современный 6,closed,335933.24,2288775878.59,
2022-06-30,Фонд Современный 6,closed,334416.46,2278441750.65,
2022-07-29,Фонд Современный 6,closed,336946.71,2295680841.42,
2022-08-31,Фонд Современный 6,closed,339407.0,2312443253.15,
2022-09-30,Фонд Современный 6,closed,334777.06,2280898627.59,
2022-10-31,Фонд Современный 6,closed,337286.9,2297998603.87,
2022-11-30,Фонд Современный 6,closed,339783.71,2315009868.58,
2022-12-30,Фонд Современный 6,closed,340323.97,2318690726.49,
2023-01-31,Фонд Современный 6,closed,344620.87,2347966320.04,
2023-02-28,Фонд Современный 6,closed,347550.88,2367929030.0,
2023-03-31,Фонд Современный 6,closed,342405.24,2332870842.78,
2023-04-28,Фонд Современный 6,closed,345281.62,2352468111.76,
2023-05-31,Фонд Современный 6,closed,348165.33,2372115402.48,
2023-06-30,Фонд Современный 6,closed,332483.05,2265269086.29,
2023-07-31,Фонд Современный 6,closed,335375.58,2284976402.5,
2023-08-31,Фонд Современный 6,closed,338214.35,2304317488.65,
2023-09-29,Фонд Современный 6,closed,332980.1,2268655563.27,
2023-10-31,Фонд Современный 6,closed,335758.09,2287582556.93,
2023-11-30,Фонд Современный 6,closed,359580.95,2449892105.4,
2023-12-29,Фонд Современный 6,closed,352547.39,2401971144.55,
2024-01-31,Фонд Современный 6,closed,357225.36,2433843037.47,
2024-02-29,Фонд Современный 6,closed,360365.24,2455235677.98,
2024-03-29,Фонд Современный 6,closed,355208.57,2420102266.14,
2024-04-27,Фонд Современный 6,closed,358404.37,2441875874.11,
2024-05-31,Фонд Современный 6,closed,368382.69,2509860060.0,
2024-06-28,Фонд Современный 6,closed,363390.13,2475844781.77,
2024-07-31,Фонд Современный 6,closed,366554.11,2497401556.06,
2024-08-30,Фонд Современный 6,closed,369715.83,2518942939.51,
2024-09-30,Фонд Современный 6,closed,365167.06,2487951325.12,
2024-10-31,Фонд Современный 6,closed,376164.21,2562877000.42,
2024-11-29,Фонд Современный 6,closed,379376.99,2584766283.82,
2024-12-28,Фонд Современный 6,closed,372454.67,2537603189.59,
2025-01-31,Фонд Современный 6,closed,377792.69,2573972088.64,
2025-02-28,Фонд Современный 6,closed,381402.72,2598567936.1,
2016-12-13,Фонд Современный Арендный бизнес 2,closed,300000.0,25200000.0,
2016-12-31,Фонд Современный Арендный бизнес 2,closed,300675.9,25256775.27,
2017-01-31,Фонд Современный Арендный бизнес 2,closed,302441.28,25405067.66,
2017-02-28,Фонд Современный Арендный бизнес 2,closed,303901.75,25527746.64,
2017-03-31,Фонд Современный Арендный бизнес 2,closed,305477.14,25660079.91,
2017-04-28,Фонд Современный Арендный бизнес 2,closed,306829.68,25773692.81,
2017-05-31,Фонд Современный Арендный бизнес 2,closed,308438.92,25908869.61,
2017-06-30,Фонд Современный Арендный бизнес 2,closed,309757.81,26019656.15,
2017-07-31,Фонд Современный Арендный бизнес 2,closed,311080.67,26130776.2,
2017-08-24,Фонд Современный Арендный бизнес 2,closed,312045.17,26211794.42,
2017-08-31,Фонд Современный Арендный бизнес 2,closed,312402.34,3734358508.76,
2017-09-29,Фонд Современный Арендный бизнес 2,closed,312910.43,3740432046.22,
2017-10-31,Фонд Современный Арендный бизнес 2,closed,312787.22,3738959200.39,
2017-11-30,Фонд Современный Арендный бизнес 2,closed,320509.26,3831266002.73,
2018-04-28,Фонд Современный Арендный бизнес 2,closed,313437.77,3746735647.59,
2018-06-29,Фонд Современный Арендный бизнес 2,closed,313500.52,3747485800.17,
2018-07-31,Фонд Современный Арендный бизнес 2,closed,315640.82,3773070315.87,
2018-08-31,Фонд Современный Арендный бизнес 2,closed,318119.52,3802699855.75,
2018-09-28,Фонд Современный Арендный бизнес 2,closed,307286.93,3673210566.09,
2018-10-31,Фонд Современный Арендный бизнес 2,closed,309861.35,3703984264.3,
2018-11-30,Фонд Современный Арендный бизнес 2,closed,312308.49,3733236652.72,
2018-12-29,Фонд Современный Арендный бизнес 2,closed,313148.85,3743282070.79,
2019-01-31,Фонд Современный Арендный бизнес 2,closed,316969.9,3788957660.8,
2019-02-28,Фонд Современный Арендный бизнес 2,closed,319482.26,3818989571.01,
2019-03-29,Фонд Современный Арендный бизнес 2,closed,312938.96,3740773142.64,
2019-04-30,Фонд Современный Арендный бизнес 2,closed,315184.0,3767609582.31,
2019-05-31,Фонд Современный Арендный бизнес 2,closed,317611.94,3796632395.9,
2019-06-28,Фонд Современный Арендный бизнес 2,closed,319508.77,3819306463.66,
2019-07-31,Фонд Современный Арендный бизнес 2,closed,321947.73,3848461114.07,
2019-08-30,Фонд Современный Арендный бизнес 2,closed,324249.54,3875976181.62,
2019-09-30,Фонд Современный Арендный бизнес 2,closed,308683.09,3689899742.59,
2019-10-31,Фонд Современный Арендный бизнес 2,closed,311034.28,3718005183.81,
2019-11-13,Фонд Современный Арендный бизнес 2,closed,310774.56,3714900572.92,
2019-11-29,Фонд Современный Арендный бизнес 2,closed,322932.78,3759947835.51,
2019-12-31,Фонд Современный Арендный бизнес 2,closed,306028.69,3563131282.68,
2020-01-31,Фонд Современный Арендный бизнес 2,closed,309605.95,3604781844.32,
2020-02-28,Фонд Современный Арендный бизнес 2,closed,311743.6,3629670725.58,
2020-03-31,Фонд Современный Арендный бизнес 2,closed,308285.98,3589413244.49,
2020-04-30,Фонд Современный Арендный бизнес 2,closed,310393.72,3613953871.35,
2020-05-29,Фонд Современный Арендный бизнес 2,closed,289713.79,3373174800.99,
2020-06-30,Фонд Современный Арендный бизнес 2,closed,284637.55,3314071475.53,
2020-07-31,Фонд Современный Арендный бизнес 2,closed,285730.79,3326800278.2,
2020-08-31,Фонд Современный Арендный бизнес 2,closed,286938.77,3340864976.19,
2020-09-30,Фонд Современный Арендный бизнес 2,closed,282998.63,3294989420.8,
2020-10-30,Фонд Современный Арендный бизнес 2,closed,284726.14,3315102999.37,
2020-11-30,Фонд Современный Арендный бизнес 2,closed,285678.01,3326185733.74,
